cell_line,phase,time_point,old_centroids,new_centroids
spen_mutant,Initiation,60,15,112
spen_mutant,Initiation,60,8,68
spen_mutant,Initiation,60,16,126
spen_mutant,Initiation,60,14,158
spen_mutant,Initiation,60,0,11
spen_mutant,Initiation,60,2,21
spen_mutant,Initiation,60,5,57
spen_mutant,Initiation,60,10,86
spen_mutant,Initiation,60,18,184
spen_mutant,Initiation,60,14,146
spen_mutant,Initiation,60,20,162
spen_mutant,Initiation,60,26,289
spen_mutant,Initiation,60,5,48
spen_mutant,Initiation,60,10,99
spen_mutant,Initiation,60,5,45
spen_mutant,Initiation,60,7,78
spen_mutant,Initiation,10,171,20
spen_mutant,Initiation,10,42,0
spen_mutant,Initiation,10,65,8
spen_mutant,Initiation,10,47,0
spen_mutant,Initiation,10,75,0
spen_mutant,Initiation,60,0,66
spen_mutant,Initiation,60,0,249
spen_mutant,Initiation,60,0,41
spen_mutant,Initiation,60,0,56
spen_mutant,Initiation,60,0,136
spen_mutant,Initiation,60,0,25
spen_mutant,Initiation,60,0,32
spen_mutant,Initiation,60,0,91
spen_mutant,Initiation,60,0,112
spen_mutant,Initiation,60,0,50
spen_mutant,Initiation,60,0,90
spen_mutant,Initiation,60,0,137
spen_mutant,Initiation,60,0,110
spen_mutant,Initiation,60,0,32
spen_mutant,Initiation,60,0,114
spen_mutant,Initiation,60,0,100
spen_mutant,Initiation,60,0,58
spen_mutant,Initiation,60,0,116
spen_mutant,Initiation,60,0,49
spen_mutant,Initiation,60,0,94
spen_mutant,Initiation,60,0,94
spen_mutant,Initiation,60,0,154
spen_mutant,Initiation,60,0,117
spen_mutant,Initiation,60,0,46
spen_mutant,Initiation,60,0,211
spen_mutant,Initiation,60,0,125
spen_mutant,Initiation,60,0,64
spen_mutant,Initiation,60,0,71
spen_mutant,Initiation,60,0,197
spen_mutant,Initiation,60,0,140
spen_mutant,Initiation,60,0,106
spen_mutant,Initiation,60,0,434
spen_mutant,Initiation,60,0,66
spen_mutant,Initiation,60,0,242
spen_mutant,Initiation,60,0,118
spen_mutant,Initiation,80,0,29
spen_mutant,Initiation,80,0,153
spen_mutant,Initiation,80,0,98
spen_mutant,Initiation,80,0,70
spen_mutant,Initiation,80,0,55
spen_mutant,Initiation,80,0,110
spen_mutant,Initiation,80,0,40
spen_mutant,Initiation,80,0,45
spen_mutant,Initiation,80,0,61
spen_mutant,Initiation,80,0,74
spen_mutant,Initiation,80,0,50
spen_mutant,Initiation,80,0,97
spen_mutant,Initiation,80,0,55
spen_mutant,Initiation,80,0,195
spen_mutant,Initiation,80,0,35
spen_mutant,Initiation,80,0,205
